aco_flight_number,plot_datetime,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,plot_features,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm,density,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,10,,Density,155,5/10/2024 9:23,,145,0,4270,155,,,,,,,,,145,O,,,770,155,94,68.615,0.443,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,10,,Depth,124,5/10/2024 9:25,124,,,,124,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,7.5,,Depth,204,5/10/2024 9:25,204,,,,204,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,5,,Depth,203,5/10/2024 9:25,203,,,,203,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,2.5,,Depth,172,5/10/2024 9:26,172,,,,172,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,10,,Density,119,5/10/2024 9:25,,110,0,4010,119,,,,,,,,,110,O,,,510,119,92,45.446,0.382,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,10,,Density,165,5/10/2024 9:27,,145,0,4350,165,,,,,,,,,145,O,,,850,165,88,75.744,0.459,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,10,,Depth,132,5/10/2024 9:28,132,,,,132,,,,,,,,,,E,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,7.5,,Depth,44,5/10/2024 9:28,44,,,,44,,,,,,,,,,"U,TW",,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,Centre,,,Density,141,5/10/2024 9:28,,131,0,4140,141,,,,,,,,,131,O,,,640,141,93,57.03,0.404,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,5,,Depth,76,5/10/2024 9:29,76,,,,76,,,,,,,,,,U,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,2.5,,Depth,137,5/10/2024 9:29,137,,,,137,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,10,,Depth,150,5/10/2024 9:30,150,,,,150,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,7.5,,Depth,143,5/10/2024 9:31,143,,,,143,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,5,,Depth,116,5/10/2024 9:31,116,,,,116,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,2.5,,Depth,121,5/10/2024 9:31,121,,,,121,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,10,,Depth,159,5/10/2024 9:32,159,,,,159,,,,,,,,,,O,,,,,,,,Good,,,,,,5/10/2024 9:33
